OID_,pointid,grid_code,dCSI,NDVIre1n,NDVIre2n,NDVIre3n,CSI,BSI,NBR,NBR2,Elevation,Aspect,Slope,NDVI_NDBI,dCSI_cat
2000,2125,0.1508869,0.2723227,0.1897891,0.0784708,0.0236822,1.4676889,0.0132342,0.1554117,0.1623853,22.3070011,161.7354279,2.6145368,0.1580411,3
2001,2126,0.1218351,0.2676866,0.1497895,0.0727783,0.0357659,1.4407035,0.0132342,0.1151623,0.1453726,21.965374,156.560257,2.6960168,0.1525597,3
2002,2127,0.1294753,0.2676866,0.1497895,0.0727783,0.0357659,1.4407035,0.0132342,0.1151623,0.1453726,21.6368599,156.9178619,2.7021198,0.1601999,3
2003,2128,0.0974586,0.1688528,0.1212361,0.06351,0.0168882,1.2730545,0.0305368,0.0722037,0.1260075,21.3663006,182.553894,2.361835,0.1517564,2
2004,2129,0.0969257,0.1688528,0.1212361,0.06351,0.0168882,1.2730545,0.0305368,0.0722037,0.1260075,21.0933495,208.2119904,2.0205426,0.1512235,2
2005,2130,0.1122183,0.1444346,0.137599,0.0568588,0.0240801,1.3080709,0.0305368,0.0509108,0.1364216,21.1069965,229.3004913,1.9122889,0.1983272,2
2006,2131,0.1048367,0.1444346,0.137599,0.0568588,0.0240801,1.3080709,0.0097564,0.0509108,0.1364216,21.80233,239.571106,2.3577354,0.1909456,2
2007,2132,0.0944596,0.2309881,0.1234332,0.0637699,0.0177059,1.4192163,0.0097564,0.1328834,0.1552936,22.4976616,249.8704071,2.8051856,0.117342,3
2008,2133,0.1219175,0.2309881,0.1234332,0.0637699,0.0177059,1.4192163,0.0097564,0.1328834,0.1552936,23.0494194,244.5277557,2.9009459,0.1447999,3
2009,2134,0.1450668,0.2110701,0.1445731,0.069982,0.021244,1.4675467,0.000483,0.1127379,0.1506657,23.3979473,217.0331573,2.4959989,0.18365,3
2010,2135,0.1225997,0.2110701,0.1445731,0.069982,0.021244,1.4675467,0.000483,0.1127379,0.1506657,23.7464752,189.5689392,2.0901484,0.1611829,3
2011,2136,0.2170396,0.202855,0.1893248,0.0708564,0.0191556,1.4880137,0.000483,0.1482742,0.1560694,23.6942863,170.1044159,2.1509011,0.2250194,2
2012,2137,0.2263759,0.202855,0.1893248,0.0708564,0.0191556,1.4880137,0.0069781,0.1482742,0.1560694,23.2893162,157.6651611,2.6258829,0.2343557,2
2013,2138,0.1292189,0.1622038,0.1462608,0.0675981,0.0232375,1.4530201,0.0069781,0.1436782,0.1524058,22.886734,145.181076,3.1018083,0.1381419,2
2014,2139,0.1002073,0.1622038,0.1462608,0.0675981,0.0232375,1.4530201,0.0069781,0.1436782,0.1524058,22.5617733,157.7205353,3.0026994,0.1091303,2
2015,2140,0.1406476,0.1669323,0.1379235,0.0873016,0.0325268,1.5054945,0.0054546,0.1747017,0.1604759,22.2763042,183.9178314,2.5883069,0.1260114,2
2016,2141,0.1025986,0.1669323,0.1379235,0.0873016,0.0325268,1.5054945,0.0054546,0.1747017,0.1604759,21.9884453,210.1045837,2.1723826,0.0879624,2
2017,2142,0.1390525,0.1228548,0.1535015,0.0584163,0.013256,1.4559524,0.0054546,0.1141577,0.1578947,22.4509735,223.7378998,2.2698548,0.1835924,2
2018,2143,0.1115203,0.1228548,0.1535015,0.0584163,0.013256,1.4559524,0.0015567,0.1141577,0.1578947,23.1463032,233.5112,2.5274158,0.1560602,2
2019,2144,0.1355118,0.1391772,0.1446514,0.0685264,0.0282046,1.4529961,0.0015567,0.1513879,0.1474104,23.8416328,243.3127899,2.7859192,0.1314435,2
2020,2145,0.0973766,0.1391772,0.1446514,0.0685264,0.0282046,1.4529961,0.0015567,0.1513879,0.1474104,24.2093124,226.2992706,2.5944984,0.0933083,2
2021,2146,0.1565059,0.2660418,0.1583265,0.0756046,0.0310332,1.4609416,0.0086604,0.1245471,0.1493949,24.5334759,205.6373596,2.3421094,0.1818248,3
2022,2147,0.1530067,0.2660418,0.1583265,0.0756046,0.0310332,1.4609416,0.0086604,0.1245471,0.1493949,24.8588352,184.9828033,2.0901446,0.1783256,3
2023,2148,0.1586914,0.2903018,0.1559633,0.0684283,0.015748,1.4722826,0.0086604,0.1499192,0.1613491,24.5177288,181.629425,2.3805025,0.1704047,3
2024,2149,0.1619981,0.2903018,0.1559633,0.0684283,0.015748,1.4722826,-0.0065635,0.1499192,0.1613491,24.1743679,178.3147278,2.6741197,0.1737114,3
2025,2150,0.1581843,0.2997731,0.1826923,0.0701997,0.0197852,1.5741711,-0.0065635,0.173359,0.1671512,23.8727932,175.9743347,2.9286377,0.1517912,3
2026,2151,0.1870591,0.2997731,0.1826923,0.0701997,0.0197852,1.5741711,-0.0065635,0.173359,0.1671512,23.8980694,181.3983154,2.8660114,0.180666,3
2027,2152,0.1682848,0.2441025,0.1545455,0.0711137,0.0272059,1.5812111,-0.0142829,0.1787125,0.1637482,23.9221516,186.7889404,2.8031044,0.1528694,3
2028,2153,0.1286159,0.2441025,0.1545455,0.0711137,0.0272059,1.5812111,-0.0142829,0.1787125,0.1637482,24.0151825,184.6158752,2.7870283,0.1132005,3
2029,2154,0.1669838,0.0649992,0.1515785,0.0823344,0.0335898,1.4373695,-0.0142829,0.1121409,0.1474972,24.3437309,157.181839,2.9289081,0.2029348,1
2030,2155,0.1371713,0.0649992,0.1515785,0.0823344,0.0335898,1.4373695,0.0143233,0.1121409,0.1474972,24.6734715,129.7593994,3.0708897,0.1731223,1
2031,2156,0.0943669,-0.009033,0.1323688,0.078125,0.026424,1.2922622,0.0143233,0.0662678,0.1319786,24.4302673,108.3618698,3.613544,0.1606574,1
2032,2157,0.0834697,-0.009033,0.1323688,0.078125,0.026424,1.2922622,0.0143233,0.0662678,0.1319786,23.1008415,98.327179,4.9130144,0.1497602,1
2033,2158,0.084201,0.06258,0.1657933,0.0793712,0.0321024,1.4349846,0.0090134,0.1379004,0.1479446,21.7678394,88.2977524,6.2129955,0.0944544,1
