OID_,pointid,grid_code,dNDVI,dNDVIre1n,dNDVIre2n,dNDVIre3n,dNBR,dNBR2,dCSI,dBSI,NDVI,NDVIre1n,NDVIre2n,NDVIre3n,CSI,BSI,NBR,NBR2,Elevation,Aspect,Slope,NDBI,dNDBI,dNDVI_dNDBI,dNDVI_dNDBI_divided_by_2,dCSI_cat,post_NDBI,NDVI_NDBI
1,2,0.1513992,0.0270103,-0.0257428,-0.0351474,-0.0158734,0.0060644,-0.0123292,-0.0427957,0.0062571,0.1513992,0.1525857,0.0636292,0.0211161,1.5027747,0.0058751,0.1437396,0.1559719,17.936285,59.2364578,2.5973642,0.0125128,-0.0188395,-4.58E-02,-0.0229249,0,0.0313523,0.163912
2,5,0.1143384,0.0149702,-0.0133906,-0.0131092,-0.0076398,0.069271,-0.0049788,0.0211213,0.0062571,0.1143384,0.1498965,0.0790752,0.0252908,1.4440978,0.0058751,0.1302578,0.1443826,18.4945049,181.2394257,1.7063861,0.0143956,-0.0747915,-8.98E-02,-0.0448809,1,0.0891871,0.128734
3,6,0.1347816,0.0378384,0.0046763,-0.017152,0.0028965,0.0470424,0.0093283,0.0810226,0.0062571,0.1347816,0.1686721,0.0739847,0.0326696,1.4627601,0.0058751,0.1258976,0.1598804,18.3607292,131.9524536,2.0945082,0.0346809,-0.0378775,-7.57E-02,-0.0378579,2,0.0725584,0.1694625
4,7,0.1336127,0.0352069,0.0046763,-0.017152,0.0028965,0.0470424,0.0093283,0.0810226,0.0062571,0.1336127,0.1686721,0.0739847,0.0326696,1.4627601,0.0058751,0.1258976,0.1598804,18.1885738,82.1992264,2.5537527,0.0346809,-0.0378775,-7.31E-02,-0.0365422,2,0.0725584,0.1682936
5,12,0.1131403,0.0241186,-0.0133906,-0.0131092,-0.0076398,0.069271,-0.0049788,0.0211213,0.0062571,0.1131403,0.1498965,0.0790752,0.0252908,1.4440978,0.0058751,0.1302578,0.1443826,18.8092003,281.8709412,1.2870548,0.0143956,-0.0747915,-9.89E-02,-0.049455,1,0.0891871,0.1275359
6,13,0.1464536,0.0599358,0.0046763,-0.017152,0.0028965,0.0470424,0.0093283,0.0810226,0.0062571,0.1464536,0.1686721,0.0739847,0.0326696,1.4627601,0.0058751,0.1258976,0.1598804,18.786375,204.2873077,1.5907758,0.0346809,-0.0378775,-9.78E-02,-0.0489066,2,0.0725584,0.1811345
7,14,0.1666667,0.0750591,0.0046763,-0.017152,0.0028965,0.0470424,0.0093283,0.0810226,0.0062571,0.1666667,0.1686721,0.0739847,0.0326696,1.4627601,0.0058751,0.1258976,0.1598804,18.7270126,118.7161407,1.9676425,0.0346809,-0.0378775,-0.112936586,-0.0564683,2,0.0725584,0.2013476
8,16,0.2143054,0.052545,0.015667,-0.0245474,-0.0101697,0.0352526,-0.0075729,-0.028801,0.0011748,0.2143054,0.2187423,0.0828221,0.028512,1.5253086,-0.0164589,0.163871,0.1722023,18.9182091,295.7714539,7.005547,0.0085733,-0.0437945,-9.63E-02,-0.0481697,0,0.0523678,0.2228787
9,17,0.1827605,0.0360627,0.015667,-0.0245474,-0.0101697,0.0352526,-0.0075729,-0.028801,0.0011748,0.1827605,0.2187423,0.0828221,0.028512,1.5253086,-0.0164589,0.163871,0.1722023,19.4659405,310.5970154,6.2303853,0.0085733,-0.0437945,-7.99E-02,-0.0399286,0,0.0523678,0.1913338
10,18,0.1391885,0.0124762,-0.0102626,-0.026255,-0.0124623,0.0230666,-0.0150968,-0.0367616,0.0203565,0.1391885,0.1765795,0.0764345,0.0217042,1.3770314,0.0091354,0.1092883,0.146753,20.0100632,325.4923706,5.4599562,0.0380753,-0.038623,-5.11E-02,-0.0255496,0,0.0766983,0.1772638
11,19,0.1749308,0.0324823,-0.0102626,-0.026255,-0.0124623,0.0230666,-0.0150968,-0.0367616,0.0203565,0.1749308,0.1765795,0.0764345,0.0217042,1.3770314,0.0091354,0.1092883,0.146753,20.1753216,302.0586548,4.9773459,0.0380753,-0.038623,-7.11E-02,-0.0355526,0,0.0766983,0.2130061
12,20,0.2010776,0.0496662,-0.0069702,-0.021709,-0.0088385,0.0380644,-0.0016887,0.0701038,0.0203565,0.2010776,0.1856952,0.079911,0.0269334,1.455289,0.0091354,0.123327,0.1587156,19.5427513,197.115921,5.0962558,0.0360952,-0.0400884,-8.98E-02,-0.0448773,2,0.0761836,0.2371728
13,23,0.1086664,0.0334784,-0.0156633,-0.0191179,0.0036471,0.0340308,0.0108771,0.0000131,0.0173611,0.1086664,0.145627,0.070922,0.0275992,1.4230367,0.0135305,0.1282519,0.1463687,18.9665108,329.2023315,1.0159894,0.0184634,-0.0233408,-5.68E-02,-0.0284096,1,0.0418042,0.1271298
14,24,0.141341,0.0537296,0.0026535,0.0008364,0.0073865,-0.0143242,0.0091067,-0.0484014,0.0173611,0.141341,0.1505893,0.0783391,0.0238881,1.3428426,0.0135305,0.0899397,0.1435428,19,241.7499237,1.2696031,0.0543041,0.023703,-3.00E-02,-0.0150133,0,0.0306011,0.1956451
15,25,0.1261153,0.0441079,0.0026535,0.0008364,0.0073865,-0.0143242,0.0091067,-0.0484014,0.0173611,0.1261153,0.1505893,0.0783391,0.0238881,1.3428426,0.0135305,0.0899397,0.1435428,19,143.5054474,1.5946387,0.0543041,0.023703,-2.04E-02,-0.0102025,0,0.0306011,0.1804194
16,26,0.1820062,0.0669352,0.0164602,-0.0041123,0.0037454,-0.0387513,-0.0090928,-0.1210744,0.0145608,0.1820062,0.1943675,0.0885756,0.0345931,1.261336,0.0155359,0.0382181,0.1261185,18.9930515,47.1874084,1.9142102,0.0883261,0.0294717,-3.75E-02,-0.0187318,0,0.0588544,0.2703323
17,27,0.222839,0.0770804,0.0164602,-0.0041123,0.0037454,-0.0387513,-0.0090928,-0.1210744,0.0145608,0.222839,0.1943675,0.0885756,0.0345931,1.261336,0.0155359,0.0382181,0.1261185,18.6462383,50.4060249,1.9573935,0.0883261,0.0294717,-0.04760867,-0.0238043,0,0.0588544,0.3111651
18,28,0.1449007,0.0380593,-0.0226863,-0.0075207,0.0136427,0.0355995,0.0048636,0.0300938,0.0145608,0.1449007,0.1616712,0.1018738,0.0572432,1.053542,0.0155359,-0.0120884,0.0982358,18.299427,53.6232643,1.9994389,0.1101934,-0.0302414,-6.83E-02,-0.0341504,1,0.1404348,0.2550941
19,29,0.2196185,0.0595954,0.015667,-0.0245474,-0.0101697,0.0352526,-0.0075729,-0.028801,0.0011748,0.2196185,0.2187423,0.0828221,0.028512,1.5253086,-0.0164589,0.163871,0.1722023,18.6666756,279.6355591,7.0910883,0.0085733,-0.0437945,-0.103389937,-0.051695,0,0.0523678,0.2281918
20,30,0.2189189,0.0993215,0.015667,-0.0245474,-0.0101697,0.0352526,-0.0075729,-0.028801,0.0011748,0.2189189,0.2187423,0.0828221,0.028512,1.5253086,-0.0164589,0.163871,0.1722023,19.5527878,287.9159241,5.8720746,0.0085733,-0.0437945,-0.143116038,-0.071558,0,0.0523678,0.2274922
21,31,0.1675179,0.0702916,-0.0102626,-0.026255,-0.0124623,0.0230666,-0.0150968,-0.0367616,0.0203565,0.1675179,0.1765795,0.0764345,0.0217042,1.3770314,0.0091354,0.1092883,0.146753,20.4352932,296.2660828,4.657793,0.0380753,-0.038623,-0.108914599,-0.0544573,0,0.0766983,0.2055932
22,32,0.1392468,0.0203326,-0.0102626,-0.026255,-0.0124623,0.0230666,-0.0150968,-0.0367616,0.0203565,0.1392468,0.1765795,0.0764345,0.0217042,1.3770314,0.0091354,0.1092883,0.146753,20.8591995,272.4255981,3.9006565,0.0380753,-0.038623,-5.90E-02,-0.0294778,0,0.0766983,0.1773221
23,33,0.1341699,0.019967,-0.0069702,-0.021709,-0.0088385,0.0380644,-0.0016887,0.0701038,0.0203565,0.1341699,0.1856952,0.079911,0.0269334,1.455289,0.0091354,0.123327,0.1587156,20.3394241,181.7402191,4.081017,0.0360952,-0.0400884,-6.01E-02,-0.0300277,2,0.0761836,0.1702651
24,36,0.1020954,0.0247918,-0.0156633,-0.0191179,0.0036471,0.0340308,0.0108771,0.0000131,0.0173611,0.1020954,0.145627,0.070922,0.0275992,1.4230367,0.0135305,0.1282519,0.1463687,18.9683552,323.8336182,0.8914557,0.0184634,-0.0233408,-4.81E-02,-0.0240663,1,0.0418042,0.1205588
25,37,0.1098528,0.0351984,0.0026535,0.0008364,0.0073865,-0.0143242,0.0091067,-0.0484014,0.0173611,0.1098528,0.1505893,0.0783391,0.0238881,1.3428426,0.0135305,0.0899397,0.1435428,19,244.5938721,1.1321229,0.0543041,0.023703,-1.15E-02,-0.0057477,0,0.0306011,0.1641569
26,38,0.1128994,0.033824,0.0026535,0.0008364,0.0073865,-0.0143242,0.0091067,-0.0484014,0.0173611,0.1128994,0.1505893,0.0783391,0.0238881,1.3428426,0.0135305,0.0899397,0.1435428,19,156.6511993,1.4405913,0.0543041,0.023703,-1.01E-02,-0.0050605,0,0.0306011,0.1672035
27,39,0.1159696,0.0224886,0.0164602,-0.0041123,0.0037454,-0.0387513,-0.0090928,-0.1210744,0.0145608,0.1159696,0.1943675,0.0885756,0.0345931,1.261336,0.0155359,0.0382181,0.1261185,18.9912071,70.9176483,1.7452308,0.0883261,0.0294717,6.98E-03,0.0034915,0,0.0588544,0.2042957
28,40,0.1397683,0.0382923,0.0164602,-0.0041123,0.0037454,-0.0387513,-0.0090928,-0.1210744,0.0145608,0.1397683,0.1943675,0.0885756,0.0345931,1.261336,0.0155359,0.0382181,0.1261185,18.6443939,74.2668076,1.8953985,0.0883261,0.0294717,-8.82E-03,-0.0044103,0,0.0588544,0.2280944
29,41,0.119856,0.0232718,-0.0226863,-0.0075207,0.0136427,0.0355995,0.0048636,0.0300938,0.0145608,0.119856,0.1616712,0.1018738,0.0572432,1.053542,0.0155359,-0.0120884,0.0982358,18.2975826,77.6145859,2.0444281,0.1101934,-0.0302414,-5.35E-02,-0.0267566,1,0.1404348,0.2300494
30,45,0.2363829,0.0802232,0.0324024,-0.0096122,-0.0043348,0.0547267,-0.0009647,0.0628186,0.0011748,0.2363829,0.2334677,0.0944269,0.0360342,1.5252051,-0.0164589,0.1558634,0.1724472,18.4187489,263.4298401,7.1718969,0.0170419,-0.0565236,-0.136746854,-0.0683734,1,0.0735655,0.2534248
31,46,0.2614583,0.1363453,0.0324024,-0.0096122,-0.0043348,0.0547267,-0.0009647,0.0628186,0.0011748,0.2614583,0.2334677,0.0944269,0.0360342,1.5252051,-0.0164589,0.1558634,0.1724472,19.6432419,265.1650696,5.5090318,0.0170419,-0.0565236,-0.192868888,-0.0964344,1,0.0735655,0.2785002
32,47,0.1673267,0.0876911,0.0116698,-0.0206104,-0.0003697,0.0404032,0.0083637,0.0177056,0.0203565,0.1673267,0.180172,0.0797267,0.0269844,1.4046336,0.0091354,0.1203791,0.1528982,20.86413,266.9700623,3.8508985,0.0331288,-0.0321847,-0.119875841,-0.0599379,1,0.0653135,0.2004555
33,48,0.1011342,-0.0136008,0.0116698,-0.0206104,-0.0003697,0.0404032,0.0083637,0.0177056,0.0203565,0.1011342,0.180172,0.0797267,0.0269844,1.4046336,0.0091354,0.1203791,0.1528982,21.544281,242.9445038,2.8246222,0.0331288,-0.0321847,-1.86E-02,-0.009292,1,0.0653135,0.134263
34,49,0.111576,-0.0063498,-0.0318621,-0.0387397,-0.0075197,0.0526269,0.0071637,-0.0009246,0.0203565,0.111576,0.1473729,0.0656616,0.0277406,1.3859649,0.0091354,0.1236717,0.1531571,21.1372986,166.5164795,3.066433,0.0300546,-0.0456795,-3.93E-02,-0.0196648,1,0.0757341,0.1416306
35,53,0.1200729,0.0340945,0.0025119,-0.0065986,0.0059595,0.0158569,0.0090957,-0.00696,0.0173611,0.1200729,0.1595604,0.0767347,0.0290618,1.3942918,0.0135305,0.1179487,0.1462094,18.9702015,318.3995361,0.7667102,0.0287566,-0.0067625,-4.09E-02,-0.0204285,0,0.0355191,0.1488295
36,54,0.1261916,0.0459408,0.0195043,0.0023202,0.0133243,-0.0148853,0.0265822,-0.0169189,0.0173611,0.1261916,0.1591054,0.0752816,0.0308771,1.3208737,0.0135305,0.0842409,0.135906,19,247.5474396,0.9944662,0.0522635,0.0419542,-3.99E-03,-0.0019933,0,0.0103093,0.1784551
37,55,0.1212629,0.0487813,0.0195043,0.0023202,0.0133243,-0.0148853,0.0265822,-0.0169189,0.0173611,0.1212629,0.1591054,0.0752816,0.0308771,1.3208737,0.0135305,0.0842409,0.135906,19,169.9065552,1.2863678,0.0522635,0.0419542,-6.83E-03,-0.0034136,0,0.0103093,0.1735264
38,56,0.091236,0.0057939,0.0126038,-0.012132,0.0107761,0.0251221,0.0231963,0.005183,0.0145608,0.091236,0.1525644,0.0673347,0.0337733,1.2461394,0.0155359,0.0718784,0.1270425,18.9893627,94.6492844,1.5773895,0.0556725,-0.0016959,-7.49E-03,-0.0037449,1,0.0573684,0.1469085
39,57,0.1464789,0.069324,0.0126038,-0.012132,0.0107761,0.0251221,0.0231963,0.005183,0.0145608,0.1464789,0.1525644,0.0673347,0.0337733,1.2461394,0.0155359,0.0718784,0.1270425,18.6425495,98.1289749,1.8345413,0.0556725,-0.0016959,-7.10E-02,-0.03551,1,0.0573684,0.2021514
40,58,0.1465704,0.057813,-0.0080967,-0.0037768,0.0062008,0.0783131,0.0162284,0.0960159,0.0145608,0.1465704,0.1536195,0.0840419,0.0402277,1.206426,0.0155359,0.0465799,0.1118061,18.2957382,101.6072922,2.0905552,0.0655676,-0.0613583,-0.119171277,-0.0595856,2,0.1269259,0.212138
41,67,0.1771694,0.0909625,0.0116698,-0.0206104,-0.0003697,0.0404032,0.0083637,0.0177056,0.0041025,0.1771694,0.180172,0.0797267,0.0269844,1.4046336,0.0017884,0.1203791,0.1528982,20.620266,246.8995667,3.9540799,0.0331288,-0.0321847,-0.123147249,-0.0615736,1,0.0653135,0.2102982
42,68,0.10726,0.0207506,0.0116698,-0.0206104,-0.0003697,0.0404032,0.0083637,0.0177056,0.0041025,0.10726,0.180172,0.0797267,0.0269844,1.4046336,0.0017884,0.1203791,0.1528982,21.4294548,225.6021118,2.8963046,0.0331288,-0.0321847,-5.29E-02,-0.0264676,1,0.0653135,0.1403888
43,69,0.1063263,0.0170459,-0.0318621,-0.0387397,-0.0075197,0.0526269,0.0071637,-0.0009246,0.0041025,0.1063263,0.1473729,0.0656616,0.0277406,1.3859649,0.0017884,0.1236717,0.1531571,21.2000237,167.0920563,2.9311433,0.0300546,-0.0456795,-6.27E-02,-0.0313627,1,0.0757341,0.1363809
44,70,0.1098705,0.0126228,-0.0318621,-0.0387397,-0.0075197,0.0526269,0.0071637,-0.0009246,-0.0037184,0.1098705,0.1473729,0.0656616,0.0277406,1.3859649,0.0082322,0.1236717,0.1531571,20.9681892,108.3491669,2.9708006,0.0300546,-0.0456795,-5.83E-02,-0.0291511,1,0.0757341,0.1399251
45,74,0.2057923,0.0832345,-0.0011743,-0.0269955,-0.0074386,0.0349595,0.012667,0.0488074,-0.0086057,0.2057923,0.1874533,0.0707071,0.0255859,1.4971751,-0.0006388,0.1465309,0.1822382,18.373064,14.4802542,3.3185179,0.0366869,-0.0224313,-0.105665848,-0.0528329,1,0.0591182,0.2424792
46,75,0.1819939,0.0530489,-0.0011743,-0.0269955,-0.0074386,0.0349595,0.012667,0.0488074,-0.0002099,0.1819939,0.1874533,0.0707071,0.0255859,1.4971751,-0.0057784,0.1465309,0.1822382,18.3167248,7.5146375,3.1230781,0.0366869,-0.0224313,-7.55E-02,-0.0377401,1,0.0591182,0.2186808
47,78,0.2271386,0.0751675,0.0292275,-0.0099223,0.0061808,0.0160354,0.0024721,0.0433205,0.0020745,0.2271386,0.218638,0.0839532,0.0282258,1.5997491,-0.0018648,0.1595044,0.1708713,18.154911,261.2867737,1.8999127,0.0116854,-0.0138621,-8.90E-02,-0.0445148,1,0.0255475,0.238824
48,79,0.2149171,0.0717979,0.0292275,-0.0099223,0.0061808,0.0160354,0.0024721,0.0433205,0.0020745,0.2149171,0.218638,0.0839532,0.0282258,1.5997491,-0.0018648,0.1595044,0.1708713,18.4216862,283.0119629,1.4936002,0.0116854,-0.0138621,-0.085659915,-0.04283,1,0.0255475,0.2266025
49,80,0.183503,0.0722534,0.0025119,-0.0065986,0.0059595,0.0158569,0.0090957,-0.00696,0.0020745,0.183503,0.1595604,0.0767347,0.0290618,1.3942918,-0.0018648,0.1179487,0.1462094,18.7667675,286.3854065,1.0923045,0.0287566,-0.0067625,-7.90E-02,-0.039508,0,0.0355191,0.2122596
50,81,0.1274095,0.0485586,0.0025119,-0.0065986,0.0059595,0.0158569,0.0090957,-0.00696,0.0145664,0.1274095,0.1595604,0.0767347,0.0290618,1.3942918,0.0186313,0.1179487,0.1462094,19.1118488,289.6074829,0.6894925,0.0287566,-0.0067625,-5.53E-02,-0.0276606,0,0.0355191,0.1561661
51,82,0.142987,0.0582925,0.0195043,0.0023202,0.0133243,-0.0148853,0.0265822,-0.0169189,0.0145664,0.142987,0.1591054,0.0752816,0.0308771,1.3208737,0.0186313,0.0842409,0.135906,19.0500221,232.758194,0.9703107,0.0522635,0.0419542,-1.63E-02,-0.0081692,0,0.0103093,0.1952505
52,83,0.1142074,0.0437849,0.0195043,0.0023202,0.0133243,-0.0148853,0.0265822,-0.0169189,0.0145664,0.1142074,0.1591054,0.0752816,0.0308771,1.3208737,0.0186313,0.0842409,0.135906,18.9548244,170.4279022,1.3097076,0.0522635,0.0419542,-1.83E-03,-0.0009153,0,0.0103093,0.1664709
53,84,0.1108059,0.0366889,0.0126038,-0.012132,0.0107761,0.0251221,0.0231963,0.005183,0.0037189,0.1108059,0.1525644,0.0673347,0.0337733,1.2461394,0.0203769,0.0718784,0.1270425,18.8529053,110.2517776,1.6474459,0.0556725,-0.0016959,-3.84E-02,-0.0191924,1,0.0573684,0.1664784
54,85,0.1423282,0.0588436,0.0126038,-0.012132,0.0107761,0.0251221,0.0231963,0.005183,0.0037189,0.1423282,0.1525644,0.0673347,0.0337733,1.2461394,0.0203769,0.0718784,0.1270425,18.5078239,113.8510742,1.9796292,0.0556725,-0.0016959,-6.05E-02,-0.0302698,1,0.0573684,0.1980007
55,86,0.1315849,0.0496276,-0.0080967,-0.0037768,0.0062008,0.0783131,0.0162284,0.0960159,0.0037189,0.1315849,0.1536195,0.0840419,0.0402277,1.206426,0.0203769,0.0465799,0.1118061,18.1627407,117.4519958,2.3114274,0.0655676,-0.0613583,-0.110985845,-0.0554929,2,0.1269259,0.1971525
56,87,0.0957821,0.0208047,-0.0080967,-0.0037768,0.0062008,0.0783131,0.0162284,0.0960159,-0.0029734,0.0957821,0.1536195,0.0840419,0.0402277,1.206426,0.0132365,0.0465799,0.1118061,17.8108101,121.0095444,2.6186924,0.0655676,-0.0613583,-0.082162932,-0.0410815,2,0.1269259,0.1613497
57,88,0.1311809,0.0548707,0.0137815,-0.0209186,0.0061428,0.0760201,0.0036806,0.0942036,-0.0029734,0.1311809,0.1754813,0.0703204,0.0375,1.2301992,0.0132365,0.0434205,0.1236046,17.4215317,124.3179626,2.7920852,0.0806168,-0.0713128,-0.126183532,-0.0630918,2,0.1519296,0.2117977
58,89,0.1589567,0.0664457,0.0137815,-0.0209186,0.0061428,0.0760201,0.0036806,0.0942036,-0.0029734,0.1589567,0.1754813,0.0703204,0.0375,1.2301992,0.0132365,0.0434205,0.1236046,17.0334549,127.6264801,2.966176,0.0806168,-0.0713128,-0.137758501,-0.0688792,2,0.1519296,0.2395735
59,90,0.1282451,0.0321206,-0.023952,-0.0199079,0.0027055,0.0453573,0.0064316,0.0400307,-0.0027509,0.1282451,0.1689455,0.0817071,0.0389289,1.3581045,0.0092558,0.1009441,0.1562926,16.576416,131.5213623,3.1051071,0.0562357,-0.0388304,-7.10E-02,-0.0354755,1,0.0950661,0.1844808
60,91,0.1335992,0.0201849,-0.023952,-0.0199079,0.0027055,0.0453573,0.0064316,0.0400307,-0.0027509,0.1335992,0.1689455,0.0817071,0.0389289,1.3581045,0.0092558,0.1009441,0.1562926,15.9285746,137.0188904,3.1484635,0.0562357,-0.0388304,-5.90E-02,-0.0295077,1,0.0950661,0.1898349
61,92,0.1614044,0.0376507,-0.0072718,-0.01872,-0.0060656,0.0180145,-0.0093664,-0.016181,-0.0027509,0.1614044,0.1786949,0.0789363,0.0246542,1.4129354,0.0092558,0.1224836,0.1534862,15.2795334,142.5335388,3.1942201,0.0315966,-0.0277974,-6.54E-02,-0.0327241,0,0.059394,0.193001
62,93,0.1401823,0.0325603,-0.0072718,-0.01872,-0.0060656,0.0180145,-0.0093664,-0.016181,0.0048588,0.1401823,0.1786949,0.0789363,0.0246542,1.4129354,0.0127946,0.1224836,0.1534862,14.7471581,145.5501099,3.248445,0.0315966,-0.0277974,-6.04E-02,-0.0301788,0,0.059394,0.1717789
63,96,0.2277331,0.1133145,0.0262964,-0.0164815,-0.0003662,0.0827973,0.028322,0.0838753,0.0041025,0.2277331,0.2013319,0.0813187,0.0320366,1.4234613,0.0017884,0.1545475,0.1558615,19.7258797,235.7359619,4.9403353,0.0013464,-0.0549581,-0.168272566,-0.0841363,2,0.0563045,0.2290795
64,97,0.1389908,0.0542871,0.0262964,-0.0164815,-0.0003662,0.0827973,0.028322,0.0838753,0.0041025,0.1389908,0.2013319,0.0813187,0.0320366,1.4234613,0.0017884,0.1545475,0.1558615,20.5295906,220.2502747,4.0915904,0.0013464,-0.0549581,-0.109245237,-0.0546226,2,0.0563045,0.1403372
65,98,0.14924,0.0680394,0.0111925,-0.0156572,0.0020633,0.0686006,0.0267073,0.1035454,0.0041025,0.14924,0.1640385,0.0712401,0.028034,1.3670033,0.0017884,0.1168224,0.137881,20.5257492,183.5860138,3.6743286,0.0214033,-0.0418878,-0.109927185,-0.0549636,2,0.0632911,0.1706433
66,99,0.1505017,0.0646291,0.0111925,-0.0156572,0.0020633,0.0686006,0.0267073,0.1035454,-0.0037184,0.1505017,0.1640385,0.0712401,0.028034,1.3670033,0.0082322,0.1168224,0.137881,20.5195026,146.6889343,3.2618856,0.0214033,-0.0418878,-0.10651692,-0.0532585,2,0.0632911,0.171905
67,100,0.1174329,0.024066,0.026479,0.0057188,0.0114163,0.0208812,0.0239164,0.0347761,-0.0037184,0.1174329,0.1788402,0.0823003,0.0375998,1.3635433,0.0082322,0.076814,0.1480916,20.3468323,109.9744339,2.9537692,0.0720978,0.0033781,-2.07E-02,-0.010344,1,0.0687197,0.1895307
68,101,0.1257691,0.0440971,0.026479,0.0057188,0.0114163,0.0208812,0.0239164,0.0347761,-0.0037184,0.1257691,0.1788402,0.0823003,0.0375998,1.3635433,0.0082322,0.076814,0.1480916,19.9761772,73.8309021,2.7676654,0.0720978,0.0033781,-4.07E-02,-0.0203595,1,0.0687197,0.1978669
69,102,0.1865652,0.0804619,0.0252361,0.0029713,0.0088741,-0.0014834,-0.0018682,-0.1195302,-0.0086057,0.1865652,0.1937224,0.0861223,0.0276546,1.3395708,-0.0006388,0.0844041,0.1433286,19.6007175,37.8836861,2.5858333,0.0596461,-0.0004123,-8.09E-02,-0.0404371,0,0.0600584,0.2462113
70,103,0.1956155,0.0788963,0.0252361,0.0029713,0.0088741,-0.0014834,-0.0018682,-0.1195302,-0.0086057,0.1956155,0.1937224,0.0861223,0.0276546,1.3395708,-0.0006388,0.0844041,0.1433286,19.3411922,21.5444412,2.5403664,0.0596461,-0.0004123,-7.93E-02,-0.0396543,0,0.0600584,0.2552616
71,104,0.1639115,0.0624897,0.0008392,-0.0143254,-0.0038219,-0.0173464,-0.0062369,-0.1605709,-0.0086057,0.1639115,0.1659741,0.0719101,0.0247046,1.3213296,-0.0006388,0.0918239,0.1396568,19.1708565,19.5567474,2.5914192,0.0484543,0.0111365,-5.14E-02,-0.0256766,0,0.0373178,0.2123658
72,105,0.1253823,0.0225726,0.0008392,-0.0143254,-0.0038219,-0.0173464,-0.0062369,-0.1605709,-0.0002099,0.1253823,0.1659741,0.0719101,0.0247046,1.3213296,-0.0057784,0.0918239,0.1396568,19.0017223,17.5165977,2.6398742,0.0484543,0.0111365,-1.14E-02,-0.005718,0,0.0373178,0.1738366
73,106,0.1430847,0.0433372,-0.0055119,-0.0084685,0.0004321,-0.0298756,-0.0100809,-0.1633986,-0.0002099,0.1430847,0.1576705,0.0718983,0.0223709,1.3448845,-0.0057784,0.1004453,0.1472795,18.8337879,55.8460808,2.3544066,0.0475375,0.0199318,-2.34E-02,-0.0117027,0,0.0276057,0.1906222
74,107,0.2117333,0.0843273,-0.0055119,-0.0084685,0.0004321,-0.0298756,-0.0100809,-0.1633986,-0.0002099,0.2117333,0.1576705,0.0718983,0.0223709,1.3448845,-0.0057784,0.1004453,0.1472795,18.667057,112.5451126,1.9207593,0.0475375,0.0199318,-6.44E-02,-0.0321977,0,0.0276057,0.2592708
75,108,0.1984877,0.0527375,0.0160892,-0.0011679,0.0088819,-0.0137746,0.0079576,-0.1093049,0.0020745,0.1984877,0.188503,0.0862522,0.03375,1.3906951,-0.0018648,0.1039679,0.1592837,18.5015278,169.6542969,1.4871258,0.0562473,0.0220545,-3.07E-02,-0.0153415,0,0.0341928,0.254735
76,109,0.1780392,0.0517103,0.0160892,-0.0011679,0.0088819,-0.0137746,0.0079576,-0.1093049,0.0020745,0.1780392,0.188503,0.0862522,0.03375,1.3906951,-0.0018648,0.1039679,0.1592837,18.7487717,194.9833221,1.1958455,0.0562473,0.0220545,-2.97E-02,-0.0148279,0,0.0341928,0.2342865
77,110,0.1660777,0.0722577,-0.0000484,-0.0099287,0.0019802,-0.0271393,0.0189606,-0.0994784,0.0020745,0.1660777,0.1577228,0.0737936,0.0279677,1.2723076,-0.0018648,0.0545455,0.1428571,19.093853,212.5718842,0.9369915,0.0890052,0.0463619,-2.59E-02,-0.0129479,0,0.0426433,0.2550829
78,111,0.1385513,0.0617263,-0.0000484,-0.0099287,0.0019802,-0.0271393,0.0189606,-0.0994784,0.0145664,0.1385513,0.1577228,0.0737936,0.0279677,1.2723076,0.0186313,0.0545455,0.1428571,19.4389343,230.0090942,0.6766213,0.0890052,0.0463619,-1.54E-02,-0.0076822,0,0.0426433,0.2275565
79,112,0.1522048,0.0750434,0.024896,-0.0023026,0.013905,0.0516329,0.0371365,0.0570618,0.0145664,0.1522048,0.1719128,0.0775147,0.0331846,1.3424104,0.0186313,0.099455,0.1432275,19.1661415,193.9646912,1.1012613,0.044405,-0.014161,-8.92E-02,-0.0446022,1,0.058566,0.1966098
80,113,0.1558411,0.0897378,0.024896,-0.0023026,0.013905,0.0516329,0.0371365,0.0570618,0.0145664,0.1558411,0.1719128,0.0775147,0.0331846,1.3424104,0.0186313,0.099455,0.1432275,18.845356,153.3505402,1.5803046,0.044405,-0.014161,-0.103898823,-0.0519494,1,0.058566,0.2002461
81,114,0.1657445,0.0919563,0.011219,-0.0028386,0.0047262,0.04649,0.0271646,0.0537157,0.0037189,0.1657445,0.1627513,0.0795834,0.0307692,1.3452498,0.0203769,0.0832772,0.1365751,18.5258198,114.3396301,2.053391,0.053911,-0.0190057,-0.110961992,-0.055481,1,0.0729167,0.2196555
82,115,0.1394164,0.0688718,0.011219,-0.0028386,0.0047262,0.04649,0.0271646,0.0537157,0.0037189,0.1394164,0.1627513,0.0795834,0.0307692,1.3452498,0.0203769,0.0832772,0.1365751,18.1807384,117.7869873,2.4218004,0.053911,-0.0190057,-8.79E-02,-0.0439388,1,0.0729167,0.1933274
83,116,0.1229617,0.0426428,-0.0087385,-0.0141883,-0.0068522,0.0688312,0.03038,0.0837162,0.0037189,0.1229617,0.1429148,0.0668928,0.0185285,1.3493804,0.0203769,0.1151413,0.1375128,17.8356571,121.2359619,2.789825,0.0227315,-0.0383945,-8.10E-02,-0.0405187,2,0.061126,0.1456932
