OID_,pointid,grid_code,dNDVI,dNDVIre1n,dNDVIre2n,dNDVIre3n,dNBR,dNBR2,dCSI,dBSI,NDVI,NDVIre1n,NDVIre2n,NDVIre3n,CSI,BSI,NBR,NBR2,Elevation,Aspect,Slope,NDBI,dNDBI,dNDVI_dNDBI,dNDVI_dNDBI_divided_by_2,dCSI_cat,post_NDBI,NDVI_NDBI
5560,5787,0.1527743,0.0919047,0.0261745,-0.0119783,-0.0054699,-0.008205,0.0363067,-0.0166146,-0.0218041,0.1527743,0.1730861,0.0770574,0.0281309,1.3011603,-0.002029,0.0627781,0.1420815,17.1774998,109.5410767,7.6041155,0.0800171,0.0449623,-4.69E-02,-0.0234712,0,0.0350548,0.2327914
5561,5788,0.1265918,0.0382693,0.0261745,-0.0119783,-0.0054699,-0.008205,0.0363067,-0.0166146,-0.006917,0.1265918,0.1730861,0.0770574,0.0281309,1.3011603,0.0062452,0.0627781,0.1420815,15.5026693,111.0134201,8.865449,0.0800171,0.0449623,6.69E-03,0.0033465,0,0.0350548,0.2066089
5562,5789,0.1471334,0.0497935,-0.0028813,0.0002626,0.0131121,-0.0557645,0.006218,-0.1482929,-0.006917,0.1471334,0.1517579,0.0862539,0.0391488,1.2353222,0.0062452,0.0603274,0.1263553,13.8122568,112.420784,9.6129026,0.066535,0.0624325,1.26E-02,0.0063195,0,0.0041025,0.2136684
5563,5790,0.1409627,0.0740171,-0.0028813,0.0002626,0.0131121,-0.0557645,0.006218,-0.1482929,-0.006917,0.1409627,0.1517579,0.0862539,0.0391488,1.2353222,0.0062452,0.0603274,0.1263553,12.0515137,113.4527893,8.3449011,0.066535,0.0624325,-1.16E-02,-0.0057923,0,0.0041025,0.2074977
5564,5791,0.1463354,0.0706682,0.0179305,0.0031078,0.0120877,-0.0051902,0.0186928,-0.0491471,0.0024058,0.1463354,0.1684187,0.0899228,0.0350703,1.1872727,0.0183895,0.0342406,0.1189427,10.2895765,114.4806213,7.0797906,0.0850485,0.023988,-4.67E-02,-0.0233401,0,0.0610605,0.2313839
5565,5792,0.1672956,0.0760946,0.0179305,0.0031078,0.0120877,-0.0051902,0.0186928,-0.0491471,0.0024058,0.1672956,0.1684187,0.0899228,0.0350703,1.1872727,0.0183895,0.0342406,0.1189427,8.9595022,113.7162323,5.6389723,0.0850485,0.023988,-5.21E-02,-0.0260533,0,0.0610605,0.2523441
5566,5793,0.1509702,0.0632059,0.0135056,0.0030079,0.0127793,0.0609421,0.0212516,0.0234362,0.0024058,0.1509702,0.1534577,0.0786286,0.0303981,1.1387082,0.0183895,0.0351317,0.1126923,8.5502539,109.1235046,3.8196421,0.0778688,-0.0391061,-0.102312058,-0.051156,1,0.1169749,0.228839
5567,5794,0.1155433,0.0340897,0.0135056,0.0030079,0.0127793,0.0609421,0.0212516,0.0234362,-0.0096749,0.1155433,0.1534577,0.0786286,0.0303981,1.1387082,0.0275479,0.0351317,0.1126923,8.1386194,104.5054474,2.0019476,0.0778688,-0.0391061,-7.32E-02,-0.0365979,1,0.1169749,0.1934121
5568,5795,0.128168,0.0439971,0.011604,-0.0031764,-0.0059206,-0.0158878,0.0137676,-0.0953658,-0.0096749,0.128168,0.1612903,0.0780261,0.0215827,1.0636704,0.0275479,0.0062035,0.1011782,7.9045787,134.3502808,1.0511546,0.0950344,0.0295887,-1.44E-02,-0.0072042,0,0.0654457,0.2232024
5569,5796,0.1399892,0.0625548,0.011604,-0.0031764,-0.0059206,-0.0158878,0.0137676,-0.0953658,-0.0096749,0.1399892,0.1612903,0.0780261,0.0215827,1.0636704,0.0275479,0.0062035,0.1011782,7.9028587,208.9114685,1.2200329,0.0950344,0.0295887,-3.30E-02,-0.0164831,0,0.0654457,0.2350236
5570,5798,0.218923,0.1028373,0.0618065,0.0051592,0.0093462,0.0743902,0.0237311,0.1286166,-0.0183379,0.218923,0.2534562,0.1029156,0.0396797,1.6760564,-0.0164786,0.2282609,0.1916509,7.7329359,130.9545746,4.3618526,-0.0382848,-0.0527066,-0.155543901,-0.0777719,2,0.0144218,0.1806382
5571,5799,0.2445956,0.1391954,0.0618065,0.0051592,0.0093462,0.0743902,0.0237311,0.1286166,-0.0021523,0.2445956,0.2534562,0.1029156,0.0396797,1.6760564,-0.0154215,0.2282609,0.1916509,6.467907,126.5749283,5.4257126,-0.0382848,-0.0527066,-0.191902049,-0.095951,2,0.0144218,0.2063108
5572,5801,0.1004525,0.0040431,-0.0273249,-0.0078999,-0.0014864,-0.0127855,-0.0167548,-0.0776036,0.0053462,0.1004525,0.1350318,0.0870272,0.0433255,1.1491832,0.0432075,-0.0049687,0.1074444,15.9604788,123.3839722,4.7993512,0.1123531,-0.0041423,-8.19E-03,-0.0040927,0,0.1164954,0.2128056
5573,5802,0.0919867,0.0092033,-0.0273249,-0.0078999,-0.0014864,-0.0127855,-0.0167548,-0.0776036,0.0053462,0.0919867,0.1350318,0.0870272,0.0433255,1.1491832,0.0432075,-0.0049687,0.1074444,15.0203495,118.3192902,4.5762835,0.1123531,-0.0041423,-1.33E-02,-0.0066728,0,0.1164954,0.2043398
5574,5803,0.1402669,0.0604634,0.0067083,-0.0176666,0.0080136,-0.0131461,0.0171513,-0.0140409,0.0053462,0.1402669,0.1702128,0.0779719,0.0265774,1.1468722,0.0432075,0.0120914,0.1144119,14.1539383,109.6449661,4.1464629,0.1024623,0.0302619,-3.02E-02,-0.0151008,0,0.0722004,0.2427292
5575,5804,0.1652488,0.0498074,0.0067083,-0.0176666,0.0080136,-0.0131461,0.0171513,-0.0140409,0.0143126,0.1652488,0.1702128,0.0779719,0.0265774,1.1468722,0.0380325,0.0120914,0.1144119,13.4002104,95.4457855,3.3934944,0.1024623,0.0302619,-1.95E-02,-0.0097728,0,0.0722004,0.2677111
5576,5805,0.1703366,0.0347778,0.0096654,-0.0087425,-0.0039061,0.0281959,0.0034382,0.0495524,0.0143126,0.1703366,0.1812472,0.0862211,0.0333595,1.2574021,0.0380325,0.0571815,0.1254959,12.6428928,81.3327255,2.6386299,0.0688083,-0.0245944,-5.94E-02,-0.0296861,1,0.0934027,0.2391449
5577,5806,0.1828715,0.0356543,0.0096654,-0.0087425,-0.0039061,0.0281959,0.0034382,0.0495524,0.0143126,0.1828715,0.1812472,0.0862211,0.0333595,1.2574021,0.0380325,0.0571815,0.1254959,12.269434,114.1542816,2.4445212,0.0688083,-0.0245944,-6.02E-02,-0.0301244,1,0.0934027,0.2516798
5578,5807,0.121059,-0.0243207,-0.0174879,-0.0006754,0.0053994,-0.0191201,0.0138678,-0.0035571,0.0270822,0.121059,0.1334968,0.0752643,0.023546,1.2261331,0.0289486,0.0371402,0.1187593,12.2677088,191.9753418,2.7895706,0.0819807,0.0330609,0.057381559,0.0286908,1,0.0489198,0.2030397
5579,5808,0.0908203,-0.0456782,-0.0174879,-0.0006754,0.0053994,-0.0191201,0.0138678,-0.0035571,0.0270822,0.0908203,0.1334968,0.0752643,0.023546,1.2261331,0.0289486,0.0371402,0.1187593,12.2659845,269.6948547,3.132647,0.0819807,0.0330609,7.87E-02,0.0393695,1,0.0489198,0.172801
5580,5809,0.107888,-0.0369191,-0.0185499,-0.0123823,0.0067429,-0.0280092,-0.0015135,-0.0396818,0.0270822,0.107888,0.1263622,0.0653509,0.0325186,1.2199899,0.0289486,0.0221022,0.1129427,13.0754833,295.5688782,3.9508953,0.0910679,0.0263518,6.33E-02,0.0316354,0,0.0647161,0.1989559
